id,name,latitude,longitude,old_province_name,new_province_name,territory,postal_code,country_name,country_code,geometry
101,Mweka,-4.84,21.57,Kasai-Occidental,KasaÃ¯,Mweka,CD9207,République démocratique du Congo,CD,POINT (21.57 -4.84)
102,Dekese,-3.45,21.4,Kasai-Occidental,KasaÃ¯,Dekese,CD9208,République démocratique du Congo,CD,POINT (21.4 -3.45)
103,Moba,-7.06,29.72,Katanga,Tanganyika,Moba,CD7404,République démocratique du Congo,CD,POINT (29.72 -7.06)
104,Kabambare,-4.7,27.72,Maniema,Maniema,Kabambare,CD6309,République démocratique du Congo,CD,POINT (27.72 -4.7)
105,Fizi,-4.3,28.94,Sud-Kivu,Sud-Kivu,Fizi,CD6210,République démocratique du Congo,CD,POINT (28.94 -4.3)
106,Kampene,-3.6,26.67,Maniema,Maniema,Pangi,CD6307,République démocratique du Congo,CD,POINT (26.67 -3.6)
107,Uvira,-3.37,29.14,Sud-Kivu,Sud-Kivu,Uvira,CD6208,République démocratique du Congo,CD,POINT (29.14 -3.37)
108,Kindu,-2.95,25.92,Maniema,Maniema,Kindu,CD6301,République démocratique du Congo,CD,POINT (25.92 -2.95)
109,Walungu,-2.63,28.67,Sud-Kivu,Sud-Kivu,Walungu,CD6207,République démocratique du Congo,CD,POINT (28.67 -2.63)
110,Walikale,-1.42,28.06,Nord-Kivu,Nord-Kivu,Walikale,CD6104,République démocratique du Congo,CD,POINT (28.06 -1.42)
111,Kinshasa,-4.31,15.32,Kinshasa,Kinshasa,Kinshasa,CD1000,République démocratique du Congo,CD,POINT (15.32 -4.31)
112,Boma,-5.85,13.05,Bas-Congo,Kongo-Central,Boma,CD2002,République démocratique du Congo,CD,POINT (13.05 -5.85)
113,Zongo,4.35,18.6,Equateur,Sud-Ubangi,Zongo,CD4206,République démocratique du Congo,CD,POINT (18.6 4.35)
114,Mbandaka,0.04,18.26,Equateur,Equateur,Mbandaka,CD4101,République démocratique du Congo,CD,POINT (18.26 0.04)
115,Bandundu,-3.31,17.38,Bandundu,Kwilu,Bandundu,CD3201,République démocratique du Congo,CD,POINT (17.38 -3.31)
116,Kikwit,-5.03,18.81,Bandundu,Kwilu,Kikwit,CD3203,République démocratique du Congo,CD,POINT (18.81 -5.03)
117,Kananga,-5.89,22.4,Kasai-Occidental,KasaÃ¯-Central,Kananga,CD9101,République démocratique du Congo,CD,POINT (22.4 -5.89)
118,Mbuji-Mayi,-6.13,23.59,Kasai-Oriental,KasaÃ¯-Oriental,Mbuji-Mayi,CD8201,République démocratique du Congo,CD,POINT (23.59 -6.13)
119,Mwene-Ditu,-7,23.44,Kasai-Oriental,Lomami,Mwene-Ditu,CD8103,République démocratique du Congo,CD,POINT (23.44 -7)
120,Likasi,-10.98,26.73,Katanga,Haut-Katanga,Likasi,CD7106,République démocratique du Congo,CD,POINT (26.73 -10.98)
121,Lubumbashi,-11.66,27.48,Katanga,Haut-Katanga,Lubumbashi,CD7101,République démocratique du Congo,CD,POINT (27.48 -11.66)
122,Kisangani,0.53,25.19,Haut-Congo,Tshopo,Kisangani,CD5101,République démocratique du Congo,CD,POINT (25.19 0.53)
123,Gbadolite,4.29,21.02,Equateur,Nord-Ubangi,Gbadolite,CD4301,République démocratique du Congo,CD,POINT (21.02 4.29)
124,Bukavu,-2.51,28.84,Sud-Kivu,Sud-Kivu,Bukavu,CD6201,République démocratique du Congo,CD,POINT (28.84 -2.51)
125,Goma,-1.69,29.22,Nord-Kivu,Sud-Kivu,Idjwi,CD6206,République démocratique du Congo,CD,POINT (29.22 -1.69)
